0,20,-800,0,0,0,1,1,1,20,20,20
0,60,-1150,0,0,0,1,1,1,20,20,20
50,80,-2000,0,0,0,1,1,1,20,20,20
-50,80,-2000,0,0,0,1,1,1,20,20,20
100,100,-2260,0,0,0,1,1,1,20,20,20
-100,100,-2260,0,0,0,1,1,1,20,20,20
200,100,-2560,0,0,0,1,1,1,20,20,20
-200,100,-2560,0,0,0,1,1,1,20,20,20
0,100,-2560,0,0,0,1,1,1,20,20,20
0,300,-3030,0,0,0,1,1,1,20,20,20
310,300,-3080,0,4.71,0,1,1,1,20,20,20
310,300,-2980,0,4.71,0,1,1,1,20,20,20
310,300,-3030,0,4.71,0,1,1,1,20,20,20
990,200,-3100,0,4.71,0,1,1,1,20,20,20
990,320,-2960,0,4.71,0,1,1,1,20,20,20
1555,320,-3030,0,4.71,0,1,1,1,20,20,20
3480,360,-3230,0,4.71,0,1,1,1,20,20,20
3480,360,-3430,0,4.71,0,1,1,1,20,20,20
3480,360,-2830,0,4.71,0,1,1,1,20,20,20
3480,360,-2630,0,4.71,0,1,1,1,20,20,20
3480,360,-3030,0,4.71,0,1,1,1,20,20,20
3680,360,-3130,0,4.71,0,1,1,1,20,20,20
3680,360,-2930,0,4.71,0,1,1,1,20,20,20
3280,360,-3130,0,4.71,0,1,1,1,20,20,20
3280,360,-2930,0,4.71,0,1,1,1,20,20,20
